h	r	t
Q4269872	P22	Q79972
Q4269872	P25	Q158248
Q4269872	P3373	Q82631
Q4269872	P3373	Q158252
Q4269872	P3373	Q4269678
Q4269872	P3373	Q81506
Q4269872	P3373	Q3292803
Q4269872	P3373	Q4269980
Q525903	P40	Q553292
Q525903	P40	Q4944376
Q525903	P40	Q603436
Q525903	P26	Q509216
Q52935	P22	Q52936
Q52935	P26	Q174256
Q52935	P40	Q420706
Q52935	P40	Q57698488
Q52935	P40	Q6219556
Q52935	P40	Q61793498
Q52935	P40	Q52934
Q52935	P40	Q52933
Q76736	P22	Q57628
Q76736	P25	Q241313
Q76736	P26	Q231441
Q76736	P40	Q61649
Q76736	P40	Q57841
Q76736	P40	Q85021
Q76736	P40	Q77336
Q76736	P40	Q16740105
Q76736	P40	Q18411753
Q76736	P3373	Q215086
Q76736	P3373	Q57909
Q76736	P3373	Q1338135
Q76736	P3373	Q1533315
Q76736	P3373	Q76724
Q76736	P3373	Q95815
Q76736	P3373	Q1895648
Q76736	P451	Q101508594
Q75807428	P22	Q60746
Q75807428	P25	Q265243
Q57415667	P22	Q321909
Q57415667	P3373	Q1218519
Q57415667	P3373	Q106765741
Q57415667	P26	Q15732737
Q57415667	P40	Q509362
Q57415667	P25	Q1727509
Q76030009	P22	Q7617445
Q76030009	P25	Q59173406
Q76285141	P22	Q3809220
Q76285141	P25	Q75385701
Q5540784	P22	Q5369081
Q5540784	P25	Q5086017
Q5540784	P3373	Q333422
Q5540784	P3373	Q332616
Q96244454	P40	Q96244452
Q96244454	P40	Q2840841
Q75359489	P22	Q2958246
Q75359489	P25	Q75359480
Q315206	P22	Q348137
Q315206	P25	Q5066980
Q315206	P3373	Q504543
Q315206	P3373	Q63307
Q315206	P3373	Q75692
Q315206	P1598	Q91253
Q1685583	P40	Q1346624
Q1685583	P40	Q929092
Q1685583	P40	Q108942270
Q1685583	P22	Q557026
Q1685583	P3373	Q1150810
Q1685583	P3373	Q15967167
Q1685583	P3373	Q22081478
Q1685583	P25	Q75785497
Q62995386	P802	Q574024
Q436627	P26	Q356173
Q436627	P40	Q241806
Q436627	P40	Q75387634
Q436627	P40	Q725833
Q436627	P40	Q75387647
Q436627	P3373	Q229218
Q75286701	P22	Q150494
Q75286701	P25	Q158659
Q109348572	P22	Q3119915
Q109348572	P25	Q102047789
Q697660	P22	Q328233
Q697660	P25	Q237663
Q697660	P3373	Q170205
Q697660	P3373	Q260505
Q697660	P3373	Q261852
Q697660	P3373	Q502919
Q697660	P3373	Q78549
Q697660	P3373	Q78542
Q697660	P1598	Q1001691
Q697660	P1598	Q24970718
Q697660	P1598	Q19979210
Q3262254	P22	Q3160248
Q3262254	P40	Q3174900
Q3262254	P40	Q75572922
Q3262254	P3373	Q2960540
Q3262254	P3373	Q3086131
Q3262254	P25	Q102816861
Q3262254	P26	Q102815469
Q840422	P26	Q948993
Q840422	P26	Q59659053
Q840422	P40	Q231126
Q840422	P40	Q3099042
Q840422	P40	Q22970739
Q840422	P40	Q28091030
Q75268312	P22	Q2579868
Q75268312	P25	Q4948295
Q2605222	P25	Q989348
Q2605222	P40	Q64685573
Q2605222	P40	Q75299075
Q2605222	P40	Q47008164
Q2605222	P26	Q3361768
Q236886	P26	Q155599
Q75359476	P22	Q2958246
Q75359476	P25	Q75359480
Q1587522	P22	Q48547
Q1587522	P40	Q3763026
Q1587522	P3373	Q1280015
Q1587522	P3373	Q1280021
Q1587522	P3373	Q2527353
Q1587522	P3373	Q261915
Q1587522	P3373	Q271831
Q1587522	P3373	Q1089085
Q1587522	P3373	Q1529833
Q1587522	P3373	Q2633633
Q1587522	P3373	Q297483
Q1587522	P3373	Q299675
Q1587522	P3373	Q3898619
Q1587522	P25	Q3721837
Q1587522	P26	Q3835546
Q3821483	P40	Q551123
Q3821483	P22	Q551726
Q3821483	P25	Q74673
Q3821483	P3373	Q527160
Q3821483	P3373	Q31191472
Q104538173	P40	Q104538171
Q104538173	P40	Q65132550
Q104538173	P22	Q2453436
Q104538173	P25	Q104538314
Q104538173	P26	Q30879752
Q75359884	P22	Q22683718
Q75359884	P25	Q75359882
Q318089	P22	Q475967
Q318089	P26	Q6423363
Q318089	P25	Q3617647
Q519223	P22	Q53454
Q519223	P25	Q240113
Q519223	P3373	Q241313
Q519223	P3373	Q4381376
Q519223	P3373	Q507964
Q519223	P3373	Q1373167
Q519223	P3373	Q11836906
Q519223	P3373	Q15073265
Q519223	P3373	Q16561722
Q4684277	P25	Q3266904
Q4684277	P3373	Q6700131
Q4684277	P22	Q2841955
Q19951807	P1598	Q3557404
Q19951807	P1598	Q3085142
Q19951807	P1598	Q3592431
Q6534929	P25	Q3840454
Q6534929	P22	Q65796
Q6534929	P26	Q61214
Q6534929	P3373	Q76086
Q6534929	P3373	Q1330104
Q6534929	P3373	Q459370
Q6534929	P3373	Q6534942
Q3830727	P22	Q669773
Q3830727	P25	Q17414282
Q3830727	P26	Q2707271
Q55912236	P22	Q20732349
Q55912236	P25	Q61912621
Q55912236	P3373	Q95319025
Q55912236	P3373	Q1913999
Q55912236	P3373	Q110290
Q55912236	P3373	Q61912611
Q55912236	P3373	Q102063025
Q55912236	P3373	Q76259356
Q364925	P22	Q932200
Q364925	P25	Q891777
Q364925	P3373	Q969113
Q364925	P3373	Q715234
Q364925	P3373	Q935424
Q459159	P22	Q169319
Q459159	P25	Q271799
Q459159	P40	Q66645
Q459159	P40	Q62885
Q459159	P40	Q657636
Q459159	P40	Q70930
Q459159	P40	Q71086
Q459159	P40	Q101172
Q459159	P26	Q63775
Q459159	P3373	Q264709
Q459159	P3373	Q327750
Q459159	P3373	Q394748
Q459159	P3373	Q441962
Q459159	P3373	Q283548
Q459159	P3373	Q68377
Q459159	P3373	Q68952
Q459159	P3373	Q696040
Q459159	P3373	Q1895147
Q75370975	P22	Q65152713
Q75370975	P25	Q75370694
Q3666711	P22	Q2049479
Q3666711	P26	Q430973
Q3666711	P40	Q2620087
Q3666711	P40	Q351856
Q3666711	P3373	Q1097265
Q75343903	P22	Q5344088
Q75343903	P40	Q76291681
Q75343903	P40	Q103843158
Q75343903	P25	Q3666746
Q75343903	P26	Q76336056
Q75343903	P26	Q507699
Q75343903	P3373	Q5541620
Q75343903	P3373	Q5086049
Q236921	P26	Q312328
Q236921	P40	Q12860
Q236921	P40	Q1077646
Q432727	P26	Q40647
Q432727	P40	Q257510
Q432727	P40	Q1573442
Q432727	P40	Q261901
Q432727	P40	Q450495
Q432727	P40	Q257587
Q432727	P40	Q75288651
Q432727	P40	Q75288649
Q432727	P22	Q62483
Q432727	P25	Q261905
Q432727	P1038	Q57126
Q432727	P1038	Q40746
Q432727	P1038	Q565577
Q432727	P1038	Q57920
Q432727	P3373	Q2083435
Q432727	P3373	Q138155
Q432727	P3373	Q457553
Q432727	P3373	Q67345
Q432727	P3373	Q319287
Q2394393	P25	Q240261
Q2394393	P22	Q447520
Q2394393	P26	Q659564
Q2394393	P3373	Q3132478
Q2394393	P3373	Q3292542
Q2394393	P3373	Q3723202
Q2394393	P3373	Q1841457
Q2394393	P3373	Q2394665
Q2394393	P3373	Q455392
Q2394393	P3373	Q444398
Q2394393	P3373	Q537780
Q236924	P22	Q151075
Q236924	P25	Q131706
Q236924	P3373	Q236907
Q236924	P3373	Q237458
Q236924	P3373	Q93810
Q236924	P3373	Q158229
Q236924	P3373	Q167439
Q236924	P3373	Q170186
Q236924	P3373	Q47365
Q236924	P3373	Q435955
Q236924	P3373	Q4785857
Q236924	P3373	Q1895832
Q236924	P3373	Q151321
Q236924	P3373	Q328233
Q236924	P3373	Q700564
Q236924	P3373	Q76555
Q236924	P3373	Q93362
Q588360	P25	Q264368
Q588360	P22	Q714803
Q588360	P40	Q237463
Q588360	P40	Q731656
Q588360	P26	Q969658
Q110422397	P40	Q108433480
Q2007542	P22	Q314577
Q2007542	P25	Q237321
Q4992733	P22	Q312325
Q4992733	P25	Q158229
Q4992733	P3373	Q3291860
Q4992733	P3373	Q4992832
Q4992733	P3373	Q164504
Q4992733	P3373	Q231457
Q4992733	P3373	Q234405
Q4992733	P3373	Q234941
Q4992733	P3373	Q235513
Q4992733	P3373	Q16854044
Q4992733	P3373	Q312305
Q4992733	P3373	Q3659899
Q4992733	P3373	Q4992758
Q4992733	P3373	Q4992850
Q4992733	P3373	Q768366
Q19943	P22	Q313857
Q19943	P25	Q235128
Q19943	P40	Q54386
Q19943	P40	Q230580
Q19943	P40	Q191045
Q19943	P26	Q156548
Q19943	P3373	Q237165
Q19943	P3373	Q240580
Q19943	P3373	Q704310
Q19943	P1290	Q160001
Q19943	P1290	Q518879
Q10325593	P22	Q586426
Q10325593	P25	Q461216
Q10325593	P26	Q75394994
Q150665	P22	Q150494
Q150665	P25	Q57527
Q150665	P26	Q57528
Q150665	P40	Q131706
Q150665	P40	Q236927
Q150665	P40	Q3847101
Q150665	P40	Q3830700
Q150665	P3373	Q234379
Q150665	P3373	Q438335
Q150665	P3373	Q78598
Q150665	P3373	Q84156
Q150665	P3373	Q2395150
Q150665	P3373	Q152480
Q150665	P3373	Q347422
Q150665	P1066	Q311378
Q52930	P22	Q52931
Q52930	P25	Q234251
Q52930	P26	Q234311
Q52930	P3373	Q261929
Q52930	P3373	Q1872255
Q52930	P3373	Q52928
Q75305375	P22	Q5339430
Q75305375	P25	Q75520753
Q76329834	P40	Q875768
Q76329834	P40	Q4979691
Q76329834	P40	Q109455963
Q76329834	P40	Q109456438
Q76329834	P26	Q224548
Q76329834	P22	Q2248336
Q312381	P40	Q79972
Q312381	P26	Q131412
Q312381	P25	Q433161
Q312381	P22	Q727905
Q312381	P3373	Q1066162
Q312381	P3373	Q75242157
Q4090435	P22	Q75588463
Q4090435	P25	Q75588466
Q166023	P22	Q126188
Q166023	P25	Q271182
Q166023	P40	Q3086190
Q166023	P40	Q2960573
Q166023	P40	Q952446
Q166023	P40	Q18332032
Q166023	P40	Q75360827
Q166023	P40	Q18331962
Q166023	P40	Q75362213
Q166023	P40	Q75362214
Q166023	P40	Q75360825
Q166023	P40	Q75362217
Q166023	P40	Q75362218
Q166023	P3373	Q6588072
Q166023	P3373	Q271999
Q166023	P3373	Q119702
Q166023	P3373	Q130812
Q166023	P3373	Q4491946
Q166023	P3373	Q1894021
Q166023	P3373	Q211681
Q166023	P3373	Q2269986
Q166023	P3373	Q5082733
Q166023	P3373	Q5082734
Q166023	P3373	Q5337475
Q166023	P3373	Q6856845
Q166023	P3373	Q75384855
Q166023	P26	Q21055142
Q166023	P26	Q67678173
Q22084246	P40	Q22038998
Q22084246	P40	Q336813
Q436498	P26	Q2546993
Q436498	P22	Q2283025
Q436498	P3373	Q2059325
Q436498	P40	Q107071616
Q436498	P40	Q107071624
Q110935099	P22	Q110935100
Q9155442	P26	Q694375
Q9155442	P40	Q274353
Q310918	P22	Q297278
Q310918	P26	Q941760
Q310918	P26	Q853282
Q310918	P3373	Q559279
Q310918	P3373	Q45859
Q310918	P3373	Q4745921
Q310918	P3373	Q4745973
Q272252	P22	Q154460
Q272252	P25	Q157884
Q272252	P26	Q61245
Q272252	P3373	Q3428831
Q272252	P3373	Q75385325
Q272252	P3373	Q75385324
Q272252	P3373	Q233821
Q272252	P3373	Q75385326
Q75388732	P22	Q317499
Q75388732	P25	Q119702
Q102813713	P40	Q102813702
Q26899125	P25	Q5086017
Q26899125	P22	Q5369081
Q1065334	P22	Q966008
Q1065334	P25	Q1388169
Q1065334	P3373	Q450627
Q1065334	P3373	Q75263823
Q1065334	P3373	Q989348
Q1065334	P3373	Q3760574
Q1065334	P3373	Q3837638
Q1065334	P3373	Q2755928
Q1065334	P3373	Q75259602
Q21501020	P26	Q5607583
Q21501020	P40	Q332487
Q76339820	P22	Q1066050
Q75385346	P22	Q157793
Q75385346	P25	Q231820
Q75385346	P3373	Q3371216
Q887599	P25	Q18737592
Q887599	P3373	Q131579
Q887599	P3373	Q5041457
Q887599	P1598	Q3218593
Q887599	P1598	Q15089524
Q887599	P1598	Q55604069
Q3343676	P40	Q2683125
Q3343676	P26	Q102249604
Q75510401	P22	Q6233415
Q75510401	P25	Q50824046
Q157073	P26	Q150726
Q157073	P40	Q157098
Q157073	P40	Q157100
Q157073	P40	Q75286761
Q157073	P25	Q466300
Q157073	P22	Q151120
Q157073	P1038	Q324453
Q157073	P1038	Q157092
Q20909609	P26	Q20909595
Q20909609	P40	Q16200016
Q420706	P25	Q174256
Q420706	P22	Q52935
Q420706	P26	Q60286
Q420706	P3373	Q52933
Q420706	P3373	Q52934
Q259136	P40	Q262363
Q259136	P40	Q510576
Q259136	P40	Q1398489
Q259136	P40	Q2314898
Q259136	P40	Q6070395
Q259136	P40	Q5805275
Q259136	P40	Q9015131
Q259136	P40	Q5953766
Q259136	P40	Q5801473
Q259136	P40	Q42670409
Q259136	P451	Q298808
Q102862086	P40	Q966628
Q75572959	P40	Q2630096
Q75572959	P26	Q75572958
Q75246732	P40	Q3296243
Q75246732	P40	Q2080470
Q75246732	P26	Q2080050
Q102815946	P40	Q102815039
Q1573092	P22	Q322841
Q1573092	P3373	Q1692840
Q1573092	P3373	Q559437
Q1573092	P3373	Q24662809
Q1573092	P3373	Q26206168
Q1573092	P3373	Q55178196
Q1573092	P3373	Q31192038
Q1573092	P3373	Q24662822
Q1573092	P25	Q1834423
Q213696	P25	Q261809
Q213696	P22	Q215903
Q213696	P3373	Q64462
Q213696	P3373	Q66535
Q213696	P3373	Q100738
Q213696	P3373	Q213716
Q213696	P3373	Q66698
Q213696	P3373	Q233198
Q95237623	P40	Q3310912
Q21029634	P40	Q1085498
Q21029634	P22	Q105246
Q21029634	P26	Q452931
Q21029634	P3373	Q1405955
Q21029634	P3373	Q443119
Q75385691	P22	Q2916076
Q75385691	P25	Q75385379
Q534948	P22	Q52940
Q534948	P25	Q232276
Q534948	P3373	Q2187338
Q534948	P3373	Q53452
Q534948	P3373	Q2617314
Q534948	P3373	Q54054
Q534948	P3373	Q655548
Q1555570	P22	Q152229
Q1555570	P3373	Q241238
Q1555570	P3373	Q37134
Q1555570	P3373	Q675258
Q1555570	P3373	Q236978
Q1555570	P3373	Q257612
Q1555570	P3373	Q115282
Q1555570	P3373	Q62022
Q1555570	P3373	Q75330048
Q1555570	P3373	Q75330050
Q1555570	P3373	Q75330051
Q1555570	P3373	Q2643503
Q1555570	P3373	Q1348373
Q1555570	P3373	Q65053
Q1555570	P3373	Q87916
Q1555570	P25	Q70777
Q701103	P22	Q319764
Q701103	P25	Q259902
Q701103	P3373	Q369973
Q701103	P3373	Q234047
Q701103	P3373	Q237132
Q701103	P3373	Q956763
Q267347	P25	Q258501
Q267347	P22	Q267354
Q267347	P26	Q291948
Q267347	P26	Q270169
Q267347	P40	Q62217
Q267347	P40	Q278001
Q267347	P40	Q327616
Q267347	P40	Q267384
Q267347	P40	Q455819
Q267347	P40	Q504498
Q267347	P40	Q689289
Q267347	P40	Q669773
Q267347	P40	Q327563
Q267347	P40	Q9391762
Q267347	P40	Q1599554
Q267347	P40	Q829566
Q267347	P40	Q76102575
Q267347	P3373	Q553628
Q267347	P3373	Q237761
Q267347	P3373	Q290123
Q267347	P3373	Q292137
Q267347	P3373	Q442242
Q267347	P3373	Q3840446
Q267347	P3373	Q10294903
Q109011794	P40	Q109011790
Q6760831	P40	Q3290803
Q6760831	P26	Q701048
Q6760831	P22	Q379953
Q6760831	P25	Q102815341
Q75394484	P40	Q452284
Q22085458	P22	Q1064871
Q22085458	P25	Q22085369
Q22085458	P3373	Q3260372
Q22085458	P3373	Q22085403
Q22085458	P3373	Q22085452
Q102536812	P22	Q110614274
Q110369025	P25	Q110369124
Q76359348	P22	Q5079166
Q76359348	P25	Q75420543
Q102823001	P40	Q102822995
Q102823001	P26	Q102823027
Q953718	P40	Q3802267
Q953718	P26	Q75273827
Q75291204	P22	Q1965530
Q75291204	P25	Q951903
Q57637	P26	Q156187
Q57637	P25	Q259725
Q57637	P22	Q551123
Q57637	P3373	Q60262
Q57637	P3373	Q267458
Q57637	P3373	Q97298
Q57637	P3373	Q370107
Q57637	P3373	Q72431
Q57637	P3373	Q111016
Q57637	P3373	Q215480
Q57637	P3373	Q543311
Q57637	P3373	Q2640029
Q57637	P3373	Q64243
Q373236	P22	Q451408
Q373236	P25	Q660020
Q373236	P3373	Q2721001
Q373236	P3373	Q3846996
Q373236	P3373	Q3847630
Q373236	P3373	Q231559
Q373236	P3373	Q1449991
Q373236	P3373	Q2628134
Q373236	P3373	Q461667
Q373236	P3373	Q672446
Q373236	P3373	Q118703
Q373236	P3373	Q3387701
Q373236	P3373	Q3167038
Q373236	P3373	Q15973160
Q20437739	P22	Q673298
Q20437739	P40	Q293356
Q20437739	P26	Q3261489
Q20437739	P25	Q1152648
Q20437739	P3373	Q438615
Q20437739	P3373	Q3086314
Q20437739	P3373	Q3263232
Q107293859	P40	Q107293857
Q744541	P25	Q119702
Q744541	P22	Q317499
Q3094026	P1598	Q3260584
Q3094026	P1598	Q3175570
Q3094026	P1598	Q15967096
Q75245330	P22	Q63240
Q75245330	P25	Q292137
Q3260609	P1598	Q3165274
Q112066	P22	Q156400
Q112066	P25	Q57995
Q112066	P26	Q253814
Q112066	P40	Q560021
Q112066	P40	Q270520
Q112066	P40	Q236892
Q112066	P40	Q94393
Q112066	P40	Q75286756
Q112066	P3373	Q79077
Q112066	P3373	Q93757
Q112066	P3373	Q157089
Q112066	P3373	Q161133
Q112066	P3373	Q232276
Q112066	P3373	Q271835
Q112066	P3373	Q440987
Q112066	P3373	Q458114
Q112066	P3373	Q84603
Q112066	P3373	Q150599
Q112066	P3373	Q112083
Q75344388	P22	Q4887254
Q75344388	P25	Q5086049
Q64190	P26	Q313426
Q64190	P40	Q501498
Q64190	P40	Q440350
Q64190	P40	Q75286690
Q64190	P40	Q75286692
Q64190	P40	Q75286693
Q110603230	P40	Q110603226
Q186256	P22	Q183226
Q186256	P25	Q229854
Q186256	P26	Q234405
Q186256	P26	Q232488
Q186256	P26	Q235078
Q186256	P26	Q230566
Q186256	P40	Q183085
Q186256	P40	Q240397
Q186256	P40	Q4943028
Q186256	P40	Q75385547
Q186256	P3373	Q233196
Q186256	P3373	Q233587
Q186256	P3373	Q233603
Q186256	P3373	Q976797
Q186256	P3373	Q343621
Q186256	P3373	Q462892
Q186256	P1038	Q170467
Q186256	P1038	Q36234
Q186256	P1290	Q36234
Q186256	P1038	Q18363
Q4943028	P22	Q186256
Q4943028	P25	Q232488
Q4943028	P3373	Q183085
Q4943028	P3373	Q240397
Q234311	P22	Q156187
Q234311	P25	Q168667
Q234311	P26	Q52930
Q234311	P3373	Q1805444
Q234311	P3373	Q241540
Q234311	P3373	Q156572
Q234311	P3373	Q55644919
Q2960540	P22	Q3160248
Q2960540	P3373	Q3086131
Q2960540	P3373	Q3262254
Q4761892	P22	Q1060796
Q4761892	P25	Q241206
Q4761892	P3373	Q176253
Q4761892	P3373	Q2574511
Q4761892	P3373	Q691168
Q4761892	P3373	Q156190
Q4761892	P3373	Q9612692
Q4761892	P3373	Q10324627
Q75291190	P22	Q313700
Q75291190	P25	Q129174
Q75341528	P22	Q5541620
Q75341528	P25	Q59174591
Q25160495	P3373	Q10826855
Q25160495	P3373	Q87072
Q25160495	P3373	Q71207
Q25160495	P22	Q71813
Q25160495	P25	Q86349
Q25160495	P40	Q25160518
Q55853853	P3373	Q1730273
Q55853853	P3373	Q107294839
Q55853853	P22	Q107294767
Q348137	P26	Q5066980
Q348137	P40	Q504543
Q348137	P40	Q63307
Q348137	P40	Q75692
Q348137	P40	Q315206
Q348137	P40	Q1798955
Q348137	P1889	Q150494
Q348137	P22	Q370791
Q348137	P25	Q1454470
Q4768926	P26	Q63277
Q4768926	P26	Q558253
Q4768926	P25	Q2211749
Q75572976	P40	Q232125
Q75572976	P40	Q101113184
Q294607	P40	Q299119
Q294607	P40	Q375141
Q294607	P40	Q161149
Q294607	P40	Q2625437
Q294607	P40	Q941760
Q294607	P26	Q241245
Q294607	P3373	Q964858
Q294607	P3373	Q466268
Q3157824	P26	Q204975
Q76291681	P22	Q76336056
Q76291681	P25	Q75343903
Q21664135	P40	Q21643902
Q21664135	P40	Q21664133
Q21664135	P26	Q78470400
Q107293863	P40	Q179307
Q6078012	P26	Q1386282
Q6078012	P40	Q555891
Q6078012	P40	Q1342608
Q3611263	P22	Q34464
Q3611263	P25	Q157089
Q3611263	P3373	Q559041
Q3611263	P3373	Q151209
Q3611263	P1290	Q151209
Q3611263	P3373	Q158662
Q3611263	P3373	Q572119
Q3611263	P3373	Q691402
Q3611263	P1290	Q691402
Q3611263	P3373	Q68604401
Q3611263	P3373	Q68762194
Q97214	P25	Q890742
Q97214	P22	Q68699
Q97214	P40	Q76090
Q97214	P40	Q62732441
Q97214	P3373	Q108890
Q97214	P3373	Q75562
Q97214	P3373	Q84322
Q97214	P3373	Q2501956
Q97214	P3373	Q66115815
Q97214	P26	Q5676168
Q75385378	P40	Q2916076
Q75385378	P26	Q21030590
Q75807479	P22	Q87876
Q75807479	P25	Q458208
Q2084314	P25	Q237742
Q2084314	P22	Q462892
Q2084314	P3373	Q2701191
Q2084314	P3373	Q356522
Q2084314	P3373	Q167384
Q2084314	P3373	Q268365
Q2084314	P3373	Q2084303
Q2084314	P3373	Q2584497
Q2084314	P3373	Q5867848
Q2084314	P3373	Q20016222
Q2084314	P3373	Q63579947
Q2084314	P3373	Q65954937
Q2084314	P40	Q75370361
Q2084314	P40	Q75370469
Q2084314	P40	Q75360968
Q2084314	P26	Q75393913
Q2084314	P26	Q75393913
Q2575876	P3373	Q1405964
Q237366	P26	Q691168
Q237366	P26	Q156190
Q237366	P40	Q2550280
Q237366	P25	Q647497
Q237366	P22	Q647664
Q237366	P3373	Q33188
Q2411371	P22	Q153586
Q2411371	P25	Q276742
Q2411371	P3373	Q157812
Q2411371	P3373	Q391053
Q2411371	P3373	Q559253
Q2411371	P3373	Q693480
Q2411371	P3373	Q2622086
Q2411371	P3373	Q672470
Q2411371	P3373	Q1755340
Q2411371	P3373	Q2411320
Q2411371	P3373	Q2411332
Q2411371	P3373	Q2411396
Q2411371	P3373	Q262989
Q2411371	P3373	Q3428292
Q2411371	P3373	Q4575564
Q50824042	P22	Q4896
Q50824042	P3373	Q335625
Q50824042	P3373	Q6678919
Q50824042	P3373	Q56457928
Q50824042	P3373	Q2558529
Q50824042	P3373	Q75390220
Q50824042	P3373	Q75390106
Q50824042	P25	Q529415
Q110614203	P40	Q75572952
Q137814	P22	Q137906
Q137814	P25	Q523140
Q137814	P26	Q231074
Q137814	P26	Q229846
Q137814	P40	Q3183663
Q137814	P40	Q937415
Q137814	P40	Q131412
Q137814	P40	Q6470274
Q137814	P40	Q19324875
Q137814	P40	Q19325374
Q137814	P40	Q75388645
Q137814	P40	Q18810820
Q137814	P40	Q19896529
Q137814	P40	Q75388631
Q137814	P40	Q3762290
Q137814	P40	Q75385130
Q137814	P451	Q75389590
Q137814	P451	Q7272957
Q137814	P451	Q532354
Q137814	P451	Q75388629
Q137814	P451	Q75388612
Q137814	P451	Q75388632
Q137814	P451	Q75388638
Q137814	P1038	Q38370
Q137814	P3373	Q16747640
Q137814	P3373	Q433161
Q137814	P3373	Q461721
Q137814	P3373	Q2364602
Q137814	P3373	Q3160040
Q137814	P3373	Q4270981
Q137814	P3373	Q348967
Q137814	P3373	Q4444820
Q87084	P22	Q53437
Q87084	P3373	Q69422
Q87084	P3373	Q5140282
Q87084	P3373	Q18684270
Q87084	P3373	Q53438
Q87084	P3373	Q17385389
Q87084	P3373	Q70885
Q87084	P3373	Q76723
Q28708713	P22	Q170467
Q28708713	P3373	Q212457
Q28708713	P3373	Q5858359
Q28708713	P3373	Q193157
Q28708713	P25	Q229861
Q28708713	P1038	Q36234
Q28708713	P1038	Q28744760
Q28708713	P1038	Q230887
Q28708713	P1038	Q223293
Q28708713	P1038	Q232132
Q28708713	P1038	Q2343300
Q28708713	P1038	Q232172
Q5537353	P22	Q75388721
Q5537353	P25	Q75258137
Q5537353	P3373	Q56612426
Q502919	P40	Q270528
Q502919	P40	Q552625
Q502919	P40	Q258483
Q502919	P40	Q434061
Q502919	P22	Q328233
Q502919	P25	Q237663
Q502919	P26	Q237308
Q502919	P3373	Q260505
Q502919	P3373	Q261852
Q502919	P3373	Q170205
Q502919	P3373	Q697660
Q502919	P3373	Q78549
Q502919	P3373	Q78542
Q110386450	P40	Q108935806
Q110386450	P40	Q108935694
Q4979691	P26	Q177095
Q4979691	P40	Q2081916
Q4979691	P40	Q16721733
Q4979691	P40	Q16698925
Q4979691	P40	Q16160099
Q4979691	P40	Q16722364
Q4979691	P22	Q224548
Q4979691	P25	Q76329834
Q4979691	P3373	Q875768
Q4979691	P3373	Q109455963
Q4979691	P3373	Q109456438
Q157100	P22	Q150726
Q157100	P25	Q157073
Q157100	P26	Q221263
Q157100	P26	Q381871
Q157100	P3373	Q13407861
Q157100	P3373	Q552986
Q157100	P3373	Q157098
Q157100	P1889	Q105959
Q75251030	P22	Q135152
Q75251030	P25	Q135113
Q21426950	P22	Q3378913
Q21426950	P40	Q3086390
Q21426950	P40	Q102823027
Q21426950	P3373	Q3378919
Q21426950	P3373	Q15973436
Q21426950	P25	Q16663055
Q21426950	P26	Q65498751
Q69249	P25	Q67777
Q69249	P22	Q62282
Q69249	P3373	Q5298251
Q69249	P3373	Q270169
Q69249	P3373	Q132455
Q69249	P3373	Q63240
Q69249	P3373	Q63770
Q69249	P3373	Q63769
Q69249	P3373	Q657591
Q69249	P3373	Q68922
Q558323	P25	Q264644
Q558323	P22	Q702876
Q558323	P40	Q481009
Q558323	P40	Q325616
Q558323	P40	Q11950042
Q558323	P3373	Q67695
Q558323	P3373	Q231820
Q558323	P3373	Q62516
Q558323	P3373	Q61557
Q558323	P26	Q11913266
Q75341527	P22	Q5541620
Q75341527	P25	Q59174591
Q110355365	P25	Q110355801
Q75362227	P22	Q75362221
Q75362227	P25	Q75362214
Q111975	P22	Q151321
Q111975	P25	Q229826
Q111975	P3373	Q1032317
Q111975	P3373	Q233728
Q111975	P3373	Q237955
Q111975	P3373	Q130834
Q111975	P3373	Q309605
Q111975	P3373	Q319764
Q111975	P3373	Q442756
Q111975	P3373	Q595088
Q111975	P3373	Q701087
Q111975	P3373	Q84201
Q111975	P3373	Q93373
Q111975	P3373	Q93427
Q111975	P3373	Q3847098
Q111975	P26	Q75523626
Q111975	P40	Q75523628
Q2539003	P25	Q2498165
Q2539003	P22	Q2307501
Q2539003	P3373	Q2236361
Q2539003	P3373	Q647664
Q110935161	P40	Q110935150
Q110935161	P22	Q110935162
Q110935161	P25	Q110935163
Q3745059	P22	Q297483
Q2856854	P1598	Q2977565
Q2856854	P1598	Q1689929
Q2856854	P1598	Q22973427
Q75359874	P22	Q343990
Q75359874	P25	Q236907
Q58023	P22	Q58020
Q58023	P25	Q61649
Q58023	P40	Q57986
Q58023	P40	Q69929
Q58023	P40	Q259244
Q58023	P40	Q237722
Q58023	P40	Q57538
Q58023	P40	Q235078
Q58023	P40	Q71700074
Q58023	P26	Q242153
Q58023	P26	Q447111
Q58023	P3373	Q325897
Q58023	P3373	Q53444
Q58023	P3373	Q18223807
Q58023	P3373	Q60727
Q69904750	P22	Q19409426
Q69904750	P25	Q3617661
Q69904750	P3373	Q16268645
Q69904750	P3373	Q3257802
Q74726	P26	Q66842
Q74726	P40	Q3290878
Q102536802	P40	Q480113
Q102536802	P22	Q22227184
Q102536802	P25	Q22227186
Q6700131	P25	Q3266904
Q6700131	P3373	Q4684277
Q6700131	P22	Q2841955
Q3106574	P1598	Q3557404
Q3106574	P1598	Q2960689
Q3106574	P1598	Q3086333
Q3106574	P22	Q72292228
Q3106574	P3373	Q75572974
Q271810	P26	Q380088
Q271810	P22	Q316859
Q271810	P25	Q2081231
