h	r	t
Q10440951	P36	Q200022
Q10440951	P36	Q461020
Q1074602	P131	Q12549
Q1074602	P47	Q922880
Q1074602	P47	Q219667
Q1074602	P47	Q324273
Q1074602	P47	Q219663
Q1074602	P47	Q224251
Q1074602	P47	Q658532
Q2378122	P47	Q37320
Q18989364	P1366	Q502403
Q18989364	P3842	Q502403
Q534812	P131	Q12679
Q534812	P47	Q733754
Q534812	P47	Q1095046
Q534812	P47	Q511013
Q534812	P47	Q683107
Q534812	P47	Q1341384
Q534812	P47	Q248866
Q534812	P47	Q251183
Q534812	P47	Q251361
Q534812	P47	Q1411582
Q226745	P131	Q1270623
Q226745	P131	Q12626
Q226745	P47	Q1018316
Q226745	P47	Q1065764
Q226745	P47	Q229372
Q226745	P47	Q988239
Q226745	P47	Q1102598
Q226745	P47	Q1060586
Q226745	P47	Q1049776
Q22350	P131	Q1270623
Q22350	P131	Q12652
Q22350	P47	Q21635
Q22350	P47	Q21966
Q22350	P47	Q21961
Q22350	P47	Q21946
Q22350	P47	Q21729
Q22350	P47	Q21653
Q666021	P131	Q3068
Q666021	P47	Q478
Q666021	P47	Q1001956
Q666021	P47	Q923382
Q666021	P47	Q632295
Q666021	P47	Q780351
Q666021	P47	Q1116872
Q21584	P131	Q1270623
Q21584	P131	Q12652
Q21584	P47	Q21618
Q21584	P47	Q22388
Q21584	P47	Q21577
Q21584	P47	Q21952
Q21584	P47	Q21748
Q21584	P47	Q21711
Q21584	P47	Q21717
Q7040582	P1366	Q846877
Q7040582	P3842	Q846877
Q22175	P131	Q12652
Q22175	P131	Q12652
Q22175	P47	Q21669
Q22175	P47	Q21931
Q22175	P47	Q21996
Q22175	P47	Q22408
Q17176230	P1366	Q386635
Q17176230	P3842	Q386635
Q11487169	P1366	Q861255
Q11487169	P3842	Q861255
Q1207735	P131	Q1189121
Q1207735	P1376	Q1189121
Q1207735	P1366	Q1490
Q1207735	P150	Q233495
Q1207735	P150	Q233903
Q1207735	P150	Q231645
Q1207735	P150	Q193638
Q1207735	P150	Q234087
Q1207735	P150	Q232631
Q1207735	P150	Q236680
Q1207735	P150	Q232624
Q1207735	P150	Q232635
Q1207735	P150	Q213464
Q1207735	P150	Q232628
Q1207735	P150	Q214056
Q650520	P131	Q3068
Q650520	P47	Q780040
Q650520	P47	Q643971
Q650520	P47	Q653380
Q650520	P47	Q1069540
Q650520	P47	Q687935
Q650520	P47	Q1065403
Q650520	P47	Q1165075
Q22909	P131	Q12652
Q22909	P131	Q12652
Q22909	P47	Q21621
Q22909	P47	Q22074
Q22909	P47	Q22032
Q857310	P131	Q131358
Q857310	P47	Q611642
Q857310	P47	Q857194
Q857310	P47	Q847584
Q857310	P47	Q202907
Q857310	P47	Q386677
Q857310	P1366	Q386677
Q857310	P47	Q857225
Q337636	P131	Q3068
Q337636	P47	Q12191
Q337636	P47	Q1115736
Q337636	P47	Q328077
Q248978	P131	Q12679
Q248978	P47	Q212350
Q248978	P47	Q250911
Q248978	P47	Q251048
Q22397	P131	Q12652
Q22397	P131	Q12652
Q22397	P47	Q22133
Q22397	P47	Q22447
Q22397	P47	Q22104
Q22397	P47	Q21992
Q22397	P47	Q22153
Q22397	P47	Q22930
Q22397	P47	Q21989
Q22397	P47	Q22309
Q576623	P131	Q12626
Q576623	P47	Q212709
Q576623	P47	Q1060546
Q576623	P47	Q1064083
Q576623	P47	Q221235
Q576623	P47	Q1048094
Q576623	P47	Q1047457
Q21749	P131	Q12652
Q21749	P131	Q12652
Q21749	P47	Q22094
Q21749	P47	Q22013
Q21749	P47	Q22343
Q21749	P47	Q22402
Q21749	P47	Q22232
Q21749	P47	Q22018
Q21749	P47	Q22028
Q21749	P1889	Q21700
Q647089	P131	Q12564
Q647089	P47	Q160927
Q647089	P47	Q1135459
Q647089	P47	Q21979698
Q647089	P1366	Q28723535
Q231837	P131	Q12549
Q231837	P47	Q474397
Q231837	P47	Q779377
Q231837	P47	Q728385
Q231837	P47	Q657826
Q231837	P47	Q1070797
Q636871	P131	Q3353
Q636871	P47	Q861652
Q636871	P47	Q195864
Q636871	P47	Q1011637
Q636871	P47	Q193138
Q636871	P47	Q616467
Q640373	P131	Q12549
Q640373	P47	Q324273
Q640373	P47	Q1011055
Q640373	P47	Q506948
Q640373	P47	Q196521
Q640373	P47	Q222759
Q640373	P47	Q640336
Q587066	P131	Q1270623
Q587066	P131	Q12626
Q587066	P47	Q509647
Q587066	P47	Q229421
Q587066	P47	Q207871
Q587066	P47	Q1102177
Q587066	P47	Q217367
Q587066	P47	Q1096573
Q1354747	P47	Q386635
Q1354747	P47	Q1346747
Q1354747	P47	Q937037
Q1354747	P47	Q1346806
Q1354747	P1365	Q17174420
Q1354747	P1365	Q17174418
Q4006668	P1366	Q495821
Q4006668	P3842	Q495821
Q4006668	P3842	Q1203700
Q52101	P190	Q38234
Q249243	P131	Q12679
Q249243	P47	Q248930
Q249243	P47	Q732606
Q1156035	P1889	Q166946
Q1156035	P47	Q166946
Q1156035	P47	Q1351626
Q1156035	P47	Q1350180
Q11405185	P1366	Q5119026
Q11405185	P3842	Q1350204
Q11371727	P1366	Q241568
Q11371727	P3842	Q1349102
Q220149	P131	Q12549
Q220149	P47	Q1070915
Q220149	P47	Q142610
Q220149	P47	Q193629
Q220149	P47	Q1063099
Q220149	P47	Q970366
Q220149	P47	Q1152267
Q220149	P47	Q626520
Q220149	P47	Q669538
Q196106	P131	Q3353
Q196106	P47	Q193746
Q196106	P47	Q539534
Q196106	P47	Q1011154
Q196106	P47	Q1077760
Q176223	P131	Q3353
Q176223	P47	Q861587
Q176223	P47	Q202608
Q176223	P47	Q176094
Q176223	P47	Q188511
Q176223	P47	Q1012429
Q176223	P47	Q1012497
Q176223	P47	Q1141382
Q21867	P131	Q1270623
Q21867	P131	Q12652
Q21867	P47	Q21783
Q21867	P47	Q21874
Q21867	P47	Q21859
Q21867	P47	Q22233
Q21867	P47	Q22386
Q21867	P47	Q22055
Q21867	P47	Q22293
Q21867	P47	Q21943
Q21867	P47	Q22255
Q11372229	P1366	Q633647
Q11372229	P3842	Q633647
Q105758411	P1366	Q200078
Q105758411	P3842	Q200078
Q104828719	P1366	Q17139
Q104828719	P3842	Q17139
Q495821	P131	Q127877
Q495821	P190	Q207572
Q495821	P190	Q242783
Q495821	P190	Q602903
Q495821	P47	Q838657
Q495821	P47	Q838660
Q495821	P47	Q840859
Q495821	P47	Q1012064
Q495821	P47	Q1204123
Q495821	P47	Q1346895
Q495821	P47	Q1203700
Q495821	P47	Q1346871
Q495821	P47	Q374984
Q495821	P1365	Q11557469
Q495821	P1365	Q17175448
Q495821	P1365	Q17176694
Q495821	P1365	Q17176776
Q495821	P1365	Q11517123
Q495821	P1365	Q4803646
Q495821	P1365	Q4006668
Q11420012	P1366	Q11563915
Q11420012	P3842	Q1350204
Q666305	P131	Q12549
Q666305	P47	Q654765
Q666305	P47	Q1011295
Q666305	P47	Q225183
Q666305	P47	Q591665
Q666305	P47	Q260148
Q666305	P47	Q475738
Q666305	P47	Q1074620
Q224346	P131	Q1270623
Q224346	P131	Q12626
Q224346	P47	Q1062198
Q224346	P47	Q193281
Q224346	P47	Q1000248
Q224346	P47	Q1064035
Q224346	P47	Q1047335
Q224346	P47	Q1047476
Q224346	P47	Q777210
Q224346	P47	Q1046738
Q224346	P47	Q1097173
Q224346	P47	Q668721
Q22150	P131	Q12652
Q22150	P131	Q12652
Q22150	P47	Q22457
Q22150	P47	Q22427
Q22150	P47	Q22179
Q22150	P47	Q22337
Q931612	P131	Q12626
Q931612	P47	Q1026441
Q931612	P47	Q1062207
Q931612	P47	Q1018496
Q931612	P47	Q318535
Q931612	P47	Q1049422
Q931612	P47	Q1097074
Q931612	P47	Q212796
Q1170302	P131	Q12556
Q1170302	P47	Q1136364
Q1170302	P47	Q751795
Q1170302	P47	Q965608
Q1170302	P47	Q1170660
Q21618	P131	Q1270623
Q21618	P131	Q12652
Q21618	P47	Q22388
Q21618	P47	Q21613
Q21618	P47	Q21638
Q21618	P47	Q21584
Q21618	P47	Q21711
Q21618	P47	Q21717
Q21618	P47	Q21660
Q271917	P190	Q200731
Q271917	P190	Q633272
Q271917	P190	Q200078
Q271917	P190	Q1205685
Q1169872	P131	Q12564
Q1169872	P47	Q160927
Q1169872	P47	Q1470456
Q1169872	P47	Q1470397
Q1169872	P47	Q1157245
Q1079054	P131	Q3353
Q1079054	P47	Q1016089
Q1079054	P47	Q1139191
Q1079054	P47	Q920916
Q1079054	P47	Q1011288
Q1079054	P47	Q629952
Q1079054	P47	Q176275
Q1079054	P47	Q1012519
Q193497	P131	Q3353
Q193497	P47	Q201098
Q193497	P1889	Q201098
Q193497	P47	Q860673
Q193497	P47	Q1016091
Q193497	P47	Q1079132
Q193497	P47	Q193707
Q193497	P47	Q176167
Q193497	P47	Q977268
Q605665	P131	Q3353
Q605665	P47	Q173977
Q605665	P47	Q200493
Q605665	P47	Q1079274
Q605665	P47	Q1016364
Q605665	P47	Q200167
Q605665	P47	Q1011301
Q21848	P131	Q1270623
Q21848	P131	Q12652
Q21848	P47	Q21619
Q21848	P47	Q22358
Q21848	P47	Q21717
Q21848	P47	Q21660
Q242874	P131	Q1490
Q242874	P47	Q210661
Q242874	P47	Q242882
Q242874	P47	Q210667
Q242874	P47	Q242885
Q242874	P47	Q208818
Q242874	P47	Q317834
Q242874	P47	Q213278
Q1065301	P131	Q3068
Q1065301	P47	Q224019
Q1065301	P47	Q1065344
Q1065301	P47	Q544305
Q1065301	P47	Q1065256
Q1065301	P47	Q1226803
Q1065301	P47	Q1164872
Q1065301	P47	Q535996
Q1094832	P131	Q12679
Q1094832	P47	Q748431
Q1094832	P47	Q212395
Q1094832	P47	Q1155642
Q1094832	P47	Q1347225
Q1094832	P47	Q1347035
Q1094832	P47	Q1340544
Q1094832	P47	Q1350390
Q1094832	P47	Q250749
Q1094832	P47	Q1156056
Q840591	P131	Q617375
Q840591	P1889	Q1023781
Q840591	P1889	Q990371
Q953776	P131	Q12679
Q953776	P47	Q530349
Q953776	P47	Q1441628
Q953776	P47	Q250896
Q953776	P47	Q251159
Q17173733	P1366	Q386635
Q17173733	P3842	Q386635
Q105758351	P1366	Q200078
Q105758351	P3842	Q200078
Q1018414	P131	Q1270623
Q1018414	P131	Q12626
Q1018414	P47	Q21879
Q1018414	P47	Q22112
Q1018414	P47	Q22062
Q1018414	P47	Q22141
Q1018414	P47	Q232021
Q1018414	P47	Q22297
Q1018414	P47	Q1098460
Q1018414	P47	Q633203
Q1097173	P131	Q1270623
Q1097173	P131	Q12626
Q1097173	P47	Q224346
Q1097173	P47	Q1060620
Q1097173	P47	Q1047476
Q1097173	P47	Q1046738
Q21639	P131	Q12652
Q21639	P131	Q12652
Q21639	P47	Q21610
Q21639	P47	Q21971
Q21639	P47	Q22912
Q21639	P47	Q21658
Q11408476	P1366	Q504690
Q11408476	P3842	Q504690
Q1155340	P47	Q467487
Q1155340	P47	Q863739
Q1155340	P47	Q863754
Q1155340	P47	Q873536
Q1155340	P47	Q990353
Q22263	P131	Q12652
Q22263	P131	Q12652
Q22263	P47	Q22459
Q22263	P47	Q22914
Q22263	P47	Q22747
Q22263	P47	Q22021
Q22263	P47	Q22206
Q43301	P190	Q174251
Q207309	P131	Q160734
Q207309	P1376	Q160734
Q207309	P361	Q160734
Q207309	P190	Q46747
Q207309	P1376	Q9610752
Q207309	P47	Q823493
Q207309	P47	Q974969
Q207309	P47	Q1205943
Q207309	P47	Q1350922
Q207309	P47	Q1206355
Q738801	P131	Q3353
Q738801	P47	Q673204
Q738801	P47	Q861587
Q738801	P47	Q1079039
Q738801	P47	Q1012448
Q738801	P47	Q1016339
Q738801	P47	Q1012429
Q1167527	P131	Q12564
Q1167527	P47	Q160927
Q1167527	P47	Q1470456
Q1167527	P47	Q1170003
Q4043	P131	Q12549
Q4043	P47	Q1074663
Q4043	P47	Q1010940
Q4043	P47	Q1063150
Q4043	P47	Q677386
Q4043	P47	Q1074702
Q22024	P131	Q12652
Q22024	P131	Q12652
Q22024	P47	Q22108
Q22024	P47	Q21907
Q22024	P47	Q22084
Q22024	P47	Q22340
Q22024	P47	Q22019
Q22024	P47	Q21981
Q22024	P47	Q22171
Q596469	P131	Q169376
Q596469	P190	Q841125
Q596469	P47	Q38234
Q596469	P47	Q385591
Q596469	P47	Q683858
Q971866	P131	Q12804
Q971866	P47	Q1454185
Q971866	P47	Q1471226
Q971866	P47	Q6616
Q22258	P131	Q12652
Q22258	P131	Q12652
Q22258	P47	Q473158
Q22258	P47	Q194002
Q22258	P47	Q1065731
Q22258	P47	Q219689
Q22258	P47	Q1049414
Q22258	P47	Q22114
Q22258	P47	Q22248
Q22258	P47	Q21980
Q22258	P47	Q21940
Q747611	P131	Q1270623
Q747611	P131	Q12626
Q747611	P47	Q182825
Q747611	P47	Q208737
Q747611	P47	Q194543
Q747611	P47	Q1098894
Q229484	P131	Q1270623
Q229484	P131	Q12626
Q229484	P47	Q726523
Q229484	P47	Q476666
Q229484	P47	Q936721
Q229484	P47	Q195098
Q229484	P47	Q1101354
Q229484	P47	Q208666
Q229484	P47	Q1101319
Q229484	P47	Q212966
Q1095457	P131	Q12679
Q1095457	P47	Q656411
Q1095457	P47	Q1341313
Q1095457	P47	Q250706
Q1095457	P47	Q1441902
Q21696	P131	Q1270623
Q21696	P131	Q12652
Q21696	P47	Q21864
Q21696	P47	Q832293
Q21696	P47	Q21810
Q21696	P47	Q21780
Q21696	P47	Q22305
Q21696	P47	Q22276
Q732553	P131	Q1270623
Q732553	P131	Q12626
Q732553	P47	Q1018324
Q732553	P47	Q607083
Q732553	P47	Q1410271
Q732553	P47	Q1099812
Q732553	P47	Q195131
Q732553	P47	Q1389333
Q732553	P47	Q1159862
Q732553	P47	Q1161684
Q873583	P131	Q122723
Q873583	P47	Q1203139
Q873583	P47	Q490872
Q873583	P47	Q634011
Q873583	P47	Q694308
Q11674245	P1366	Q7820087
Q11674245	P1366	Q11393881
Q11674245	P3842	Q845851
Q11674245	P3842	Q204249
Q21681	P131	Q12652
Q21681	P131	Q12652
Q21681	P47	Q21911
Q21681	P47	Q22245
Q21681	P47	Q22299
Q11486050	P1366	Q855059
Q11486050	P3842	Q855059
Q210690	P131	Q12549
Q210690	P47	Q475463
Q210690	P47	Q1030933
Q210690	P47	Q1074796
Q210690	P47	Q967037
Q990887	P131	Q1270623
Q990887	P131	Q12626
Q990887	P47	Q227546
Q990887	P47	Q1000758
Q990887	P47	Q212770
Q990887	P47	Q371623
Q990887	P47	Q777565
Q990887	P47	Q1095873
Q547933	P131	Q12549
Q547933	P47	Q234704
Q547933	P47	Q635305
Q547933	P47	Q1011075
Q547933	P47	Q1061476
Q547933	P47	Q213564
Q547933	P47	Q646752
Q547933	P47	Q1070537
Q5214603	P1366	Q38234
Q5214603	P3842	Q38234
Q823493	P131	Q160734
Q823493	P47	Q207309
Q823493	P47	Q485583
Q823493	P47	Q974969
Q105806523	P1366	Q467487
Q105806523	P3842	Q467487
Q105806523	P1366	Q98099109
Q250896	P131	Q12679
Q250896	P47	Q530349
Q250896	P47	Q953776
Q250896	P47	Q1441628
Q250896	P47	Q250686
Q250896	P47	Q250855
Q1022925	P131	Q1490
Q22406	P131	Q12652
Q22406	P131	Q12652
Q22406	P47	Q22439
Q22406	P47	Q21691
Q22406	P47	Q22317
Q22406	P47	Q22143
Q22406	P47	Q22035
Q18989352	P1366	Q665097
Q18989352	P3842	Q665097
Q18989352	P3842	Q502403
Q1347328	P131	Q12679
Q1347328	P47	Q1157369
Q1347328	P47	Q1098161
Q1347328	P47	Q1157489
Q1347328	P47	Q250976
Q1347328	P47	Q1372726
Q5647218	P1366	Q1206005
Q5647218	P3842	Q1206005
Q5647218	P1366	Q20044715
Q5647218	P3842	Q857828
Q899081	P131	Q12679
Q899081	P47	Q670502
Q899081	P47	Q1095104
Q899081	P47	Q750233
Q899081	P47	Q830987
Q1350072	P47	Q592500
Q1350072	P47	Q791587
Q1350072	P47	Q1350904
Q1350072	P47	Q1205943
Q1350072	P47	Q861255
Q22302	P131	Q12652
Q22302	P131	Q12652
Q22302	P47	Q22065
Q22302	P47	Q22268
Q22302	P47	Q22344
Q22302	P47	Q22114
Q22302	P47	Q22119
Q22302	P47	Q22690
Q22302	P47	Q22300
Q7385606	P1366	Q1156043
Q7385606	P3842	Q1156043
Q7385606	P1365	Q11514082
Q7385606	P1365	Q11658462
Q7385606	P1365	Q11565104
Q7385606	P1365	Q11610141
Q11402382	P1366	Q1349486
Q11402382	P3842	Q1349486
Q17174594	P1366	Q17174428
Q17174594	P3842	Q386635
Q11556041	P1366	Q841125
Q11556041	P3842	Q841125
Q860657	P131	Q3353
Q860657	P47	Q173722
Q860657	P47	Q201276
Q860657	P47	Q203144
Q860657	P47	Q1016266
Q860657	P47	Q200552
Q860657	P47	Q200041
Q1138725	P131	Q12556
Q1138725	P47	Q632428
Q1138725	P47	Q1171292
Q1138725	P47	Q269364
Q1138725	P47	Q1170894
Q1138725	P47	Q1172033
Q1138725	P47	Q1170660
Q22080	P131	Q1270623
Q22080	P131	Q12652
Q22080	P47	Q21888
Q22080	P47	Q22233
Q22080	P47	Q22386
Q22359	P131	Q12652
Q22359	P131	Q12652
Q22359	P47	Q21580
Q22359	P47	Q21636
Q22359	P47	Q22003
Q627108	P131	Q12652
Q627108	P131	Q12626
Q627108	P47	Q931397
Q627108	P47	Q1062214
Q627108	P47	Q1062193
Q627108	P47	Q212259
Q627108	P47	Q589517
Q3136217	P1366	Q504690
Q3136217	P3842	Q504690
Q21939	P131	Q12652
Q21939	P131	Q12652
Q21939	P47	Q21932
Q21939	P47	Q21883
Q21939	P47	Q22449
Q21939	P47	Q21770
Q21939	P47	Q22253
Q21939	P47	Q21697
Q11581793	P1366	Q5118993
Q11581793	P3842	Q602903
Q819587	P131	Q81863
Q819587	P47	Q653545
Q819587	P47	Q1205482
Q5921381	P1366	Q38234
Q5921381	P3842	Q38234
Q11470454	P1366	Q633272
Q11470454	P3842	Q633272
Q577497	P131	Q12679
Q577497	P47	Q305400
Q577497	P47	Q680576
Q577497	P47	Q1095317
Q577497	P47	Q1096183
Q577497	P47	Q1098025
Q1011301	P131	Q3353
Q1011301	P47	Q861677
Q1011301	P47	Q200880
Q1011301	P47	Q605665
Q1011301	P47	Q1079274
Q1011301	P47	Q1016202
Q1011301	P47	Q200167
Q11482028	P1366	Q1205980
Q11482028	P3842	Q1205980
Q1047232	P131	Q1270623
Q1047232	P131	Q12626
Q1047232	P47	Q21949
Q1047232	P47	Q1385244
Q1047232	P47	Q1098639
Q11629336	P1366	Q990371
Q11629336	P3842	Q990371
Q104519643	P1366	Q200078
Q104519643	P3842	Q200078
Q22751	P131	Q12652
Q22751	P131	Q12652
Q22751	P47	Q21735
Q22751	P47	Q21675
Q22751	P47	Q22148
Q22751	P47	Q22640
Q284762	P131	Q12652
Q284762	P131	Q12652
Q284762	P47	Q22025
Q284762	P47	Q21942
Q284762	P47	Q22336
Q21648	P131	Q1270623
Q21648	P131	Q12652
Q21648	P47	Q21962
Q21648	P47	Q227774
Q21648	P47	Q221260
Q21648	P47	Q21974
Q21648	P47	Q21710
Q477004	P131	Q1270623
Q477004	P131	Q12626
Q477004	P47	Q22131
Q477004	P47	Q21768
Q477004	P47	Q22214
Q477004	P47	Q766641
Q477004	P47	Q597800
Q22333	P131	Q12652
Q22333	P131	Q12652
Q22333	P47	Q22312
Q22333	P47	Q22115
Q22333	P47	Q21929
Q104828722	P1366	Q17139
Q104828722	P3842	Q17139
Q1074826	P131	Q12549
Q1074826	P47	Q193614
Q1074826	P47	Q749071
Q1074826	P47	Q1074751
Q1074826	P47	Q301556
Q1155681	P131	Q12679
Q1155681	P47	Q1048464
Q1155681	P47	Q599388
Q1155681	P47	Q1096016
Q1155681	P47	Q1098025
Q1155681	P47	Q818051
Q1155681	P47	Q1097080
Q1155681	P47	Q1435869
Q12694	P131	Q18338206
Q12694	P47	Q3113
Q12694	P47	Q3259
Q12694	P47	Q3326
Q12694	P47	Q3353
Q12694	P47	Q12572
Q12694	P47	Q12569
Q22152	P131	Q12652
Q22152	P131	Q12652
Q22152	P47	Q21692
Q22152	P47	Q21781
Q22152	P47	Q21582
Q22152	P47	Q21776
Q22152	P47	Q21686
Q22152	P47	Q22106
Q22152	P47	Q21995
Q22152	P47	Q21984
Q8056191	P1366	Q791587
Q8056191	P3842	Q791587
Q972355	P131	Q12652
Q972355	P131	Q12626
Q972355	P47	Q1087162
Q972355	P47	Q964104
Q972355	P47	Q209904
Q972355	P47	Q639784
Q972355	P47	Q1097162
Q274384	P190	Q602903
Q274384	P131	Q71707
Q274384	P47	Q734400
Q274384	P47	Q1205991
Q274384	P47	Q1354828
Q274384	P47	Q1354867
Q274384	P47	Q1354949
Q274384	P47	Q1205868
Q274384	P47	Q1205262
Q274384	P47	Q1205497
Q274384	P47	Q838654
Q274384	P1365	Q11394609
Q274384	P1365	Q11060456
Q274384	P1365	Q95975956
Q274384	P1365	Q95976598
Q274384	P1365	Q11460546
Q274384	P1365	Q11642431
Q274384	P1365	Q11419610
Q274384	P1365	Q11477768
Q274384	P1365	Q11576108
Q274384	P1365	Q11354655
Q274384	P1365	Q11446691
Q274384	P1365	Q11368922
Q274384	P1365	Q11432079
Q274384	P1365	Q96002996
Q274384	P1889	Q96002996
Q18989146	P1366	Q502403
Q18989146	P3842	Q502403
Q41812	P131	Q12657
Q41812	P47	Q890000
Q41812	P47	Q166997
Q41812	P47	Q33834
Q41812	P1889	Q191083
Q1018336	P131	Q12626
Q1018336	P47	Q1018310
Q1018336	P47	Q221198
Q1018336	P47	Q662648
Q1018336	P47	Q217907
Q1018336	P47	Q212259
Q988239	P131	Q1270623
Q988239	P131	Q12626
Q988239	P47	Q1385244
Q988239	P47	Q1018316
Q988239	P47	Q1065764
Q988239	P47	Q226745
Q988239	P47	Q428865
Q988239	P47	Q430549
Q988239	P47	Q1047407
Q1064362	P131	Q3068
Q1064362	P47	Q639618
Q1064362	P47	Q771480
Q1064362	P47	Q743520
Q1064362	P47	Q680923
Q966450	P131	Q3353
Q966450	P47	Q540677
Q966450	P47	Q176145
Q966450	P47	Q1077787
Q966450	P47	Q646103
Q1047378	P131	Q12652
Q1047378	P131	Q12626
Q1047378	P47	Q1087162
Q1047378	P47	Q727026
Q1047378	P47	Q964104
Q1047378	P47	Q1063980
Q1047378	P47	Q1048405
Q18281620	P131	Q3377
Q22225	P131	Q12652
Q22225	P131	Q12652
Q22225	P47	Q22131
Q22225	P47	Q21894
Q22225	P47	Q21909
Q22225	P47	Q21764
Q22225	P47	Q22935
Q22225	P47	Q22323
Q22225	P47	Q21924
Q22225	P47	Q22925
Q1064508	P131	Q3068
Q1064508	P47	Q1001908
Q222962	P131	Q12549
Q222962	P47	Q223692
Q222962	P47	Q213564
Q222962	P47	Q538715
Q222962	P47	Q677433
Q222962	P47	Q744398
Q1095792	P131	Q12679
Q1095792	P47	Q1003125
Q1095792	P47	Q1096144
Q1095792	P47	Q1378116
Q1095792	P47	Q1095131
Q1095792	P47	Q1340355
Q1095792	P47	Q1410390
Q11405062	P1366	Q496479
Q11405062	P3842	Q496479
Q100	P190	Q34600
Q100	P190	Q6602
Q100	P190	Q1867
Q100	P190	Q1524
Q100	P190	Q34820
Q100	P190	Q2844
Q100	P47	Q49111
Q643467	P131	Q12549
Q643467	P47	Q1021786
Q643467	P47	Q1011061
Q643467	P47	Q674002
Q643467	P47	Q637241
Q643467	P47	Q216883
Q231972	P131	Q1270623
Q231972	P131	Q12626
Q231972	P47	Q453618
Q231972	P47	Q229977
Q231972	P47	Q1349006
Q231972	P47	Q1101403
Q231972	P47	Q936721
Q231972	P47	Q1101408
Q231972	P47	Q1101381
Q231972	P47	Q976692
Q231972	P47	Q193872
Q250712	P131	Q12679
Q250712	P47	Q1410381
Q250712	P47	Q1095111
Q250712	P47	Q500588
Q250712	P47	Q1406208
Q250712	P47	Q1407368
Q250712	P47	Q1441705
Q1094623	P131	Q12679
Q1094623	P47	Q217077
Q1094623	P47	Q1340608
Q1094623	P47	Q212335
Q1094623	P47	Q248655
Q1094623	P47	Q250667
Q220729	P131	Q1270623
Q220729	P131	Q12626
Q220729	P47	Q594495
Q220729	P47	Q192947
Q220729	P47	Q154728
Q1098477	P131	Q12652
Q1098477	P131	Q12626
Q1098477	P47	Q988183
Q1098477	P47	Q990786
Q1098477	P47	Q223188
Q1098477	P47	Q228858
Q1012012	P131	Q3353
Q1012012	P47	Q861669
Q1012012	P47	Q187625
Q1012012	P47	Q970382
Q1012012	P47	Q472015
Q1012012	P47	Q1012062
Q1761	P190	Q216
Q1761	P190	Q16553
Q1761	P190	Q956
Q1761	P190	Q1781
Q1761	P190	Q23564
Q1761	P190	Q1780
Q1761	P190	Q9022
Q1011100	P131	Q12549
Q1011100	P47	Q1063192
Q1011100	P47	Q1011452
Q1011100	P47	Q223150
Q1011100	P47	Q1070797
Q519403	P131	Q12584
Q519403	P47	Q1384163
Q519403	P47	Q1104080
Q519403	P47	Q21619108
Q519403	P47	Q1384121
Q22269	P131	Q12652
Q22269	P131	Q12652
Q22269	P47	Q22108
Q22269	P47	Q21861
Q22269	P47	Q22215
Q22269	P47	Q21913
Q22269	P47	Q21843
Q22269	P47	Q22923
Q22269	P47	Q21981
Q22269	P47	Q21980
Q22269	P47	Q22281
Q43788	P190	Q216
Q43788	P190	Q3274
Q43788	P190	Q585
Q22306	P131	Q1270623
Q22306	P131	Q12652
Q22306	P47	Q22330
Q22306	P47	Q22060
Q1372726	P131	Q12679
Q1372726	P47	Q1347328
Q1372726	P47	Q1333022
Q1372726	P47	Q1157489
Q1372726	P47	Q1340393
Q1372726	P47	Q250976
Q1372726	P47	Q1434441
Q1372726	P47	Q1047512
Q1372726	P47	Q1441722
Q1372726	P47	Q1407357
Q21830	P131	Q12652
Q21830	P131	Q12652
Q21830	P47	Q21611
Q21830	P47	Q21620
Q21830	P47	Q21903
Q21830	P47	Q21880
Q21830	P47	Q21976
Q21830	P47	Q21616
Q212370	P131	Q12679
Q212370	P47	Q1340319
Q212370	P47	Q251142
Q212370	P47	Q207622
Q212370	P47	Q71070
Q192128	P131	Q3353
Q192128	P47	Q861677
Q192128	P47	Q193684
Q192128	P47	Q200880
Q192128	P47	Q1079274
Q192128	P47	Q1012442
Q192128	P47	Q1016364
Q192128	P47	Q202723
Q11575638	P1366	Q1205980
Q11575638	P3842	Q1205980
Q11575638	P1365	Q11549553
Q21746	P131	Q1270623
Q21746	P131	Q12652
Q21746	P47	Q21672
Q21746	P47	Q21758
Q21746	P47	Q21581
Q21746	P47	Q21667
Q21746	P47	Q21969
Q21746	P47	Q21954
Q21746	P47	Q21656
Q517261	P131	Q12675
Q517261	P47	Q533254
Q517261	P47	Q1174273
Q517261	P47	Q1336669
Q22544	P131	Q1270623
Q22544	P131	Q12652
Q22544	P47	Q21773
Q22544	P47	Q21679
Q22544	P47	Q21810
Q22544	P47	Q21780
Q22544	P47	Q21993
Q22544	P47	Q22274
Q22544	P47	Q22146
Q22544	P47	Q22042
Q22020	P131	Q12652
Q22020	P131	Q12652
Q22020	P47	Q1018403
Q22020	P47	Q215053
Q22020	P47	Q453411
Q22020	P47	Q22108
Q22020	P47	Q22248
Q22020	P47	Q22000
Q22020	P47	Q22019
Q22020	P47	Q21981
Q22020	P47	Q22171
Q22271	P131	Q12652
Q22271	P131	Q12652
Q22271	P47	Q22752
Q22271	P47	Q21806
Q22271	P47	Q21873
Q22271	P47	Q22690
Q22271	P47	Q22396
Q22271	P47	Q21920
Q194002	P131	Q12626
Q194002	P47	Q22258
Q194002	P47	Q1064097
Q194002	P47	Q219689
Q194002	P47	Q1049414
Q21919	P131	Q12652
Q21919	P131	Q12652
